date,city,latitude,longitude,pm25,pm10,o3,no2,so2,co,aqi,temperature_c,humidity_percent,wind_speed_mps,month,day
2019-01-25,Washington,38.9072,-77.0369,8.9,28.88,23.41,27.79,3.22,0.59,30,15.66,85.4,9.2,1,25
2019-01-26,Washington,38.9072,-77.0369,7.27,31.33,20.67,19.84,4.5,0.5,17,14.39,48.4,9.7,1,26
2019-01-27,Washington,38.9072,-77.0369,16.94,17.73,38.25,20.84,3.72,0.36,38,18.58,40.5,3.1,1,27
2019-01-28,Washington,38.9072,-77.0369,12.0,22.42,23.33,18.06,6.3,0.34,25,21.85,79.9,2.3,1,28
2019-01-29,Washington,38.9072,-77.0369,11.49,21.25,37.21,20.82,5.81,0.52,41,12.55,77.0,8.6,1,29
2019-01-30,Washington,38.9072,-77.0369,12.81,15.49,37.43,13.18,3.65,0.61,40,6.69,85.7,5.8,1,30
2019-01-31,Washington,38.9072,-77.0369,7.31,23.31,24.13,18.98,3.61,0.38,28,15.07,35.8,4.8,1,31
2019-02-01,Washington,38.9072,-77.0369,8.99,29.75,27.67,27.13,6.29,0.65,27,13.87,58.0,9.8,2,1
2019-02-02,Washington,38.9072,-77.0369,8.72,31.51,33.87,21.42,4.86,0.4,28,12.88,78.4,7.2,2,2
2019-02-03,Washington,38.9072,-77.0369,12.29,24.51,41.23,17.32,6.08,0.51,41,23.89,65.8,5.7,2,3
2019-02-04,Washington,38.9072,-77.0369,14.77,23.13,38.24,28.42,5.63,0.63,36,22.08,42.0,5.6,2,4
2019-02-05,Washington,38.9072,-77.0369,17.24,21.12,32.74,16.27,4.55,0.64,34,21.57,83.9,0.8,2,5
2019-02-06,Washington,38.9072,-77.0369,12.73,35.32,42.71,22.85,6.5,0.39,41,19.48,83.2,9.4,2,6
2019-02-07,Washington,38.9072,-77.0369,8.43,35.89,31.02,14.61,5.48,0.49,30,9.8,77.9,4.1,2,7
2019-02-08,Washington,38.9072,-77.0369,10.87,31.54,39.55,23.65,7.0,0.36,44,25.44,78.3,6.5,2,8
2019-02-09,Washington,38.9072,-77.0369,15.24,30.16,43.56,21.38,5.11,0.36,45,6.59,81.1,8.1,2,9
2019-02-10,Washington,38.9072,-77.0369,9.73,28.41,33.93,17.27,3.98,0.47,30,11.28,73.7,5.1,2,10
2019-02-11,Washington,38.9072,-77.0369,15.1,30.59,40.47,25.53,7.04,0.61,43,6.85,60.3,4.7,2,11
2019-02-12,Washington,38.9072,-77.0369,13.3,31.19,35.1,15.83,4.89,0.48,38,7.49,86.6,9.5,2,12
2019-02-13,Washington,38.9072,-77.0369,17.54,31.37,21.99,19.06,6.63,0.62,26,21.39,47.0,1.4,2,13
2019-02-14,Washington,38.9072,-77.0369,12.81,17.7,39.13,21.19,7.31,0.67,36,11.06,37.6,3.7,2,14
2019-02-15,Washington,38.9072,-77.0369,14.86,35.26,39.64,19.59,3.51,0.48,41,26.03,84.0,2.7,2,15
2019-02-16,Washington,38.9072,-77.0369,14.54,32.3,32.15,16.35,6.77,0.54,34,23.45,65.0,9.3,2,16
2019-02-17,Washington,38.9072,-77.0369,17.35,30.5,39.0,22.55,3.52,0.56,37,25.46,68.2,3.1,2,17
2019-02-18,Washington,38.9072,-77.0369,13.85,33.55,40.56,22.73,5.02,0.58,43,11.12,33.0,4.1,2,18
2019-02-19,Washington,38.9072,-77.0369,12.75,19.35,41.52,14.29,6.97,0.56,37,26.01,80.1,8.5,2,19
2019-02-20,Washington,38.9072,-77.0369,10.39,28.2,35.78,27.25,3.54,0.73,32,18.36,73.2,7.7,2,20
2019-02-21,Washington,38.9072,-77.0369,10.78,34.17,40.56,25.17,6.34,0.36,38,25.89,49.8,4.1,2,21
2019-02-22,Washington,38.9072,-77.0369,10.22,29.74,37.05,26.17,4.82,0.65,41,20.09,44.6,9.5,2,22
2019-02-23,Washington,38.9072,-77.0369,10.37,19.95,22.73,23.05,4.42,0.71,26,7.48,51.1,3.0,2,23
2019-02-24,Washington,38.9072,-77.0369,15.89,23.51,27.93,14.06,4.41,0.52,29,23.08,34.4,1.5,2,24
2019-02-25,Washington,38.9072,-77.0369,13.56,29.03,44.67,25.76,6.23,0.66,46,11.1,60.1,8.6,2,25
2019-02-26,Washington,38.9072,-77.0369,16.85,17.95,24.89,23.63,6.48,0.68,28,17.01,64.9,2.1,2,26
2019-02-27,Washington,38.9072,-77.0369,8.24,35.34,25.33,15.1,4.38,0.36,28,16.64,40.9,3.5,2,27
2019-02-28,Washington,38.9072,-77.0369,12.53,27.17,33.38,24.39,5.46,0.59,36,20.55,63.2,9.9,2,28
2019-03-01,Washington,38.9072,-77.0369,13.18,26.01,42.12,29.07,5.3,0.4,42,15.28,68.5,3.2,3,1
2019-03-02,Washington,38.9072,-77.0369,14.32,22.76,39.16,30.81,7.8,0.55,43,8.2,57.2,8.8,3,2
2019-03-03,Washington,38.9072,-77.0369,11.05,20.36,46.01,23.6,6.61,0.55,48,12.22,63.5,4.7,3,3
2019-03-04,Washington,38.9072,-77.0369,11.4,37.44,36.85,18.6,7.63,0.53,41,23.05,67.2,0.8,3,4
2019-03-05,Washington,38.9072,-77.0369,10.38,21.63,31.24,22.92,5.43,0.59,28,19.42,47.7,8.3,3,5
2019-03-06,Washington,38.9072,-77.0369,16.93,23.72,37.56,24.36,4.56,0.55,36,27.13,35.9,8.1,3,6
2019-03-07,Washington,38.9072,-77.0369,9.31,31.11,29.71,17.54,5.64,0.67,31,16.63,73.1,8.1,3,7
2019-03-08,Washington,38.9072,-77.0369,13.37,29.08,24.47,23.14,5.95,0.6,26,15.15,74.2,7.0,3,8
2019-03-09,Washington,38.9072,-77.0369,12.58,33.26,38.2,31.21,6.52,0.67,38,16.46,60.8,2.0,3,9
2019-03-10,Washington,38.9072,-77.0369,13.72,38.7,28.85,22.25,6.05,0.41,24,21.06,46.4,8.7,3,10
2019-03-11,Washington,38.9072,-77.0369,14.07,32.62,39.04,24.16,7.68,0.6,34,13.12,48.6,6.6,3,11
2019-03-12,Washington,38.9072,-77.0369,16.01,19.46,45.72,23.28,4.03,0.6,41,9.64,84.0,6.4,3,12
2019-03-13,Washington,38.9072,-77.0369,14.27,28.09,36.11,26.32,6.47,0.64,35,23.68,32.2,8.0,3,13
2019-03-14,Washington,38.9072,-77.0369,16.7,29.48,24.81,22.04,5.7,0.55,23,24.27,46.3,5.7,3,14
2019-03-15,Washington,38.9072,-77.0369,9.35,28.0,32.48,27.27,5.65,0.59,31,17.88,66.5,5.7,3,15
2019-03-16,Washington,38.9072,-77.0369,14.21,19.34,42.84,21.92,6.25,0.75,38,27.26,67.4,1.4,3,16
2019-03-17,Washington,38.9072,-77.0369,9.86,32.51,32.18,27.21,5.48,0.65,27,20.51,56.1,1.3,3,17
2019-03-18,Washington,38.9072,-77.0369,17.22,39.32,44.61,19.39,5.22,0.72,40,7.69,42.5,7.4,3,18
2019-03-19,Washington,38.9072,-77.0369,17.29,21.92,44.48,24.55,7.64,0.55,47,22.14,70.8,2.8,3,19
2019-03-20,Washington,38.9072,-77.0369,18.97,36.93,38.34,20.75,6.81,0.65,40,23.4,32.7,6.8,3,20
2019-03-21,Washington,38.9072,-77.0369,11.75,36.52,45.1,25.79,6.13,0.76,49,11.87,72.4,2.0,3,21
2019-03-22,Washington,38.9072,-77.0369,10.89,22.58,31.91,27.99,5.93,0.71,31,25.85,80.5,5.2,3,22
2019-03-23,Washington,38.9072,-77.0369,10.32,32.39,36.62,17.07,4.25,0.66,39,20.32,41.5,5.4,3,23
2019-03-24,Washington,38.9072,-77.0369,15.41,29.31,36.78,15.64,6.84,0.44,39,24.65,49.8,8.7,3,24
2019-03-25,Washington,38.9072,-77.0369,9.82,29.57,23.98,26.02,4.76,0.49,24,11.52,38.7,2.5,3,25
2019-03-26,Washington,38.9072,-77.0369,11.9,29.18,28.57,22.93,5.4,0.54,30,10.5,86.0,9.4,3,26
2019-03-27,Washington,38.9072,-77.0369,11.68,32.4,36.48,19.67,5.13,0.75,40,11.49,42.5,6.8,3,27
2019-03-28,Washington,38.9072,-77.0369,16.69,25.88,32.22,23.44,5.66,0.63,36,19.27,38.7,2.0,3,28
2019-03-29,Washington,38.9072,-77.0369,11.87,31.29,43.5,25.11,4.28,0.53,47,18.34,79.5,8.6,3,29
2019-03-30,Washington,38.9072,-77.0369,17.76,21.39,29.53,22.01,4.25,0.66,32,7.85,66.8,3.5,3,30
2019-03-31,Washington,38.9072,-77.0369,18.49,31.64,32.97,20.5,7.86,0.76,33,18.87,60.3,7.1,3,31
2019-04-01,Washington,38.9072,-77.0369,18.75,22.17,39.56,27.87,7.43,0.76,39,26.27,68.5,6.3,4,1
2019-04-02,Washington,38.9072,-77.0369,18.34,30.35,45.49,20.49,7.98,0.48,42,9.39,68.2,2.1,4,2
2019-04-03,Washington,38.9072,-77.0369,10.23,29.67,29.53,18.13,4.96,0.77,33,21.16,73.0,2.0,4,3
2019-04-04,Washington,38.9072,-77.0369,18.99,29.12,38.35,31.24,6.01,0.65,42,8.31,88.4,4.0,4,4
2019-04-05,Washington,38.9072,-77.0369,14.72,38.98,25.13,28.7,4.19,0.77,26,18.34,64.4,2.7,4,5
2019-04-06,Washington,38.9072,-77.0369,13.55,23.24,37.47,19.03,4.55,0.66,41,10.9,47.4,9.5,4,6
2019-04-07,Washington,38.9072,-77.0369,16.34,21.2,28.53,17.09,7.87,0.51,24,25.09,63.8,2.3,4,7
2019-04-08,Washington,38.9072,-77.0369,10.75,31.81,31.13,24.54,4.53,0.67,27,20.95,64.4,2.1,4,8
2019-04-09,Washington,38.9072,-77.0369,9.69,33.0,26.82,31.39,6.08,0.65,34,13.92,53.3,5.6,4,9
2019-04-10,Washington,38.9072,-77.0369,11.67,22.99,35.49,27.23,5.66,0.64,34,23.05,63.7,7.6,4,10
2019-04-11,Washington,38.9072,-77.0369,11.87,35.72,25.06,29.46,4.81,0.59,33,14.18,66.8,8.6,4,11
2019-04-12,Washington,38.9072,-77.0369,15.35,24.07,35.6,28.45,6.94,0.65,36,27.43,68.0,8.0,4,12
2019-04-13,Washington,38.9072,-77.0369,18.51,20.1,39.94,22.28,7.57,0.54,44,19.79,74.1,3.2,4,13
2019-04-14,Washington,38.9072,-77.0369,16.19,21.62,41.82,27.44,5.25,0.55,40,11.57,48.1,7.4,4,14
2019-04-15,Washington,38.9072,-77.0369,11.13,39.38,43.07,25.06,5.4,0.77,40,10.5,58.6,1.1,4,15
2019-04-16,Washington,38.9072,-77.0369,17.23,22.75,32.75,17.55,5.34,0.48,34,24.42,66.0,6.3,4,16
2019-04-17,Washington,38.9072,-77.0369,12.2,35.73,42.63,16.78,6.67,0.55,43,10.18,72.3,2.1,4,17
2019-04-18,Washington,38.9072,-77.0369,18.35,29.25,31.45,28.12,6.76,0.51,27,26.93,43.5,5.6,4,18
2019-04-19,Washington,38.9072,-77.0369,12.78,22.12,37.39,22.63,7.03,0.71,32,22.59,40.8,1.1,4,19
2019-04-20,Washington,38.9072,-77.0369,13.1,32.03,45.56,27.61,7.35,0.4,49,24.72,60.7,4.3,4,20
2019-04-21,Washington,38.9072,-77.0369,13.42,26.63,38.86,19.58,5.6,0.55,42,20.52,65.6,8.0,4,21
2019-04-22,Washington,38.9072,-77.0369,18.28,29.32,47.26,23.39,4.09,0.68,42,18.89,87.3,9.6,4,22
2019-04-23,Washington,38.9072,-77.0369,10.4,21.08,31.12,18.17,6.78,0.62,29,9.29,33.2,2.4,4,23
2019-04-24,Washington,38.9072,-77.0369,16.66,27.26,37.64,25.02,5.7,0.77,40,25.18,74.0,1.6,4,24
2019-04-25,Washington,38.9072,-77.0369,11.41,27.78,29.17,21.63,4.91,0.73,30,11.36,66.7,8.7,4,25
2019-04-26,Washington,38.9072,-77.0369,17.19,29.57,38.54,29.67,4.28,0.43,34,25.79,78.0,6.5,4,26
2019-04-27,Washington,38.9072,-77.0369,12.03,37.45,47.71,23.59,4.67,0.67,50,12.92,84.9,1.6,4,27
2019-04-28,Washington,38.9072,-77.0369,10.64,39.31,25.13,27.19,7.99,0.64,25,23.9,63.6,9.8,4,28
2019-04-29,Washington,38.9072,-77.0369,14.86,38.24,37.38,26.6,5.55,0.69,33,12.92,71.8,1.9,4,29
2019-04-30,Washington,38.9072,-77.0369,18.99,33.43,46.74,20.33,6.13,0.77,45,10.13,59.2,4.5,4,30
2019-05-01,Washington,38.9072,-77.0369,11.47,27.01,29.35,17.18,7.59,0.64,27,16.83,33.7,1.0,5,1
2019-05-02,Washington,38.9072,-77.0369,13.53,37.06,26.18,15.65,4.29,0.44,24,18.6,60.8,1.0,5,2
2019-05-03,Washington,38.9072,-77.0369,9.18,24.71,41.05,17.26,4.67,0.6,41,23.67,30.2,0.8,5,3
2019-05-04,Washington,38.9072,-77.0369,15.46,33.11,45.85,23.84,4.04,0.72,49,25.09,88.5,5.2,5,4
2019-05-05,Washington,38.9072,-77.0369,13.78,28.4,29.01,23.31,7.02,0.39,29,23.65,73.6,2.0,5,5
2019-05-06,Washington,38.9072,-77.0369,13.63,25.89,43.62,27.1,5.86,0.52,44,15.63,88.3,4.5,5,6
2019-05-07,Washington,38.9072,-77.0369,12.51,25.3,40.51,22.73,6.47,0.72,42,12.44,55.3,5.9,5,7
2019-05-08,Washington,38.9072,-77.0369,18.33,25.64,32.24,16.4,6.04,0.74,28,27.3,74.0,3.9,5,8
2019-05-09,Washington,38.9072,-77.0369,12.57,20.37,33.34,21.44,6.85,0.55,37,24.42,37.0,0.9,5,9
2019-05-10,Washington,38.9072,-77.0369,13.23,22.33,26.98,28.08,5.67,0.51,23,8.26,84.0,8.9,5,10
2019-05-11,Washington,38.9072,-77.0369,15.53,25.35,39.84,17.46,3.97,0.63,41,10.7,69.9,5.5,5,11
2019-05-12,Washington,38.9072,-77.0369,16.6,20.64,24.14,16.72,5.96,0.78,21,18.87,84.2,5.9,5,12
2019-05-13,Washington,38.9072,-77.0369,16.14,33.33,43.86,24.33,6.59,0.62,45,17.18,46.3,0.5,5,13
2019-05-14,Washington,38.9072,-77.0369,16.76,24.55,32.94,16.64,6.67,0.57,28,16.44,59.2,1.1,5,14
2019-05-15,Washington,38.9072,-77.0369,9.78,35.18,38.2,20.8,7.44,0.73,37,23.81,32.0,2.9,5,15
2019-05-16,Washington,38.9072,-77.0369,11.08,26.88,45.1,22.67,4.61,0.68,49,24.07,68.8,8.1,5,16
2019-05-17,Washington,38.9072,-77.0369,10.5,23.34,42.01,22.03,5.77,0.73,42,26.87,65.4,2.9,5,17
2019-05-18,Washington,38.9072,-77.0369,9.1,22.37,42.36,17.81,7.18,0.72,44,19.46,57.5,9.1,5,18
2019-05-19,Washington,38.9072,-77.0369,10.38,23.43,44.09,20.32,4.61,0.68,44,16.15,66.9,8.3,5,19
2019-05-20,Washington,38.9072,-77.0369,17.17,32.04,46.44,25.6,4.57,0.65,42,11.56,72.2,4.8,5,20
2019-05-21,Washington,38.9072,-77.0369,12.57,31.39,32.85,19.46,5.4,0.45,29,14.27,33.1,9.3,5,21
2019-05-22,Washington,38.9072,-77.0369,13.78,26.41,40.21,20.93,5.61,0.48,37,12.05,82.8,6.4,5,22
2019-05-23,Washington,38.9072,-77.0369,11.69,32.96,44.43,18.2,4.94,0.4,47,22.25,56.7,8.1,5,23
2019-05-24,Washington,38.9072,-77.0369,11.1,24.45,33.85,30.0,6.55,0.72,32,21.97,77.9,2.3,5,24
2019-05-25,Washington,38.9072,-77.0369,15.98,36.45,41.85,23.85,5.99,0.45,42,17.55,74.0,6.0,5,25
2019-05-26,Washington,38.9072,-77.0369,9.59,27.76,41.79,20.52,7.78,0.42,36,26.19,74.9,1.3,5,26
2019-05-27,Washington,38.9072,-77.0369,13.34,39.21,28.01,28.56,6.57,0.45,28,12.03,42.5,8.3,5,27
2019-05-28,Washington,38.9072,-77.0369,9.83,21.26,41.11,17.59,5.31,0.52,45,16.35,77.8,4.2,5,28
2019-05-29,Washington,38.9072,-77.0369,9.28,29.65,33.49,15.54,6.09,0.65,30,13.71,85.1,8.2,5,29
2019-05-30,Washington,38.9072,-77.0369,11.08,26.6,37.03,29.59,4.19,0.52,32,8.41,52.9,6.7,5,30
2019-05-31,Washington,38.9072,-77.0369,18.18,35.99,44.07,26.68,5.55,0.61,42,14.73,87.5,3.0,5,31
2019-06-01,Washington,38.9072,-77.0369,11.91,23.12,27.46,25.49,5.76,0.51,28,26.35,66.6,2.8,6,1
2019-06-02,Washington,38.9072,-77.0369,10.48,25.52,32.73,19.1,6.26,0.63,35,20.88,35.6,7.3,6,2
2019-06-03,Washington,38.9072,-77.0369,17.9,36.4,36.49,20.83,6.24,0.42,35,15.72,55.6,8.7,6,3
2019-06-04,Washington,38.9072,-77.0369,13.4,32.44,29.88,25.41,7.45,0.4,25,10.24,84.9,8.6,6,4
2019-06-05,Washington,38.9072,-77.0369,14.56,37.48,33.95,17.29,6.68,0.44,37,23.1,55.2,3.3,6,5
2019-06-06,Washington,38.9072,-77.0369,14.34,36.69,21.5,18.27,7.15,0.57,17,24.56,61.2,9.8,6,6
2019-06-07,Washington,38.9072,-77.0369,11.41,25.32,27.81,16.19,5.7,0.62,27,20.73,37.2,10.0,6,7
2019-06-08,Washington,38.9072,-77.0369,11.75,33.69,35.41,29.68,7.16,0.66,39,24.15,45.1,9.2,6,8
2019-06-09,Washington,38.9072,-77.0369,11.67,29.0,38.14,14.27,4.17,0.51,33,12.11,42.1,7.6,6,9
2019-06-10,Washington,38.9072,-77.0369,13.1,26.51,35.07,29.77,3.72,0.59,35,10.84,44.7,6.3,6,10
2019-06-11,Washington,38.9072,-77.0369,14.58,37.27,22.84,23.95,4.06,0.64,23,6.61,86.0,8.2,6,11
2019-06-12,Washington,38.9072,-77.0369,9.82,25.89,35.46,17.57,6.45,0.46,34,15.69,69.3,5.8,6,12
2019-06-13,Washington,38.9072,-77.0369,9.51,35.67,23.37,21.86,6.09,0.66,19,22.29,39.0,1.3,6,13
2019-06-14,Washington,38.9072,-77.0369,9.09,18.12,32.96,22.13,6.62,0.73,31,19.08,36.1,8.4,6,14
2019-06-15,Washington,38.9072,-77.0369,15.9,24.37,32.62,28.49,6.64,0.71,34,21.7,56.9,3.1,6,15
2019-06-16,Washington,38.9072,-77.0369,13.17,18.86,33.69,21.13,5.7,0.41,31,9.28,58.7,6.0,6,16
2019-06-17,Washington,38.9072,-77.0369,11.86,26.34,35.46,23.59,3.58,0.74,31,10.98,37.4,6.2,6,17
2019-06-18,Washington,38.9072,-77.0369,16.85,29.83,35.97,15.53,4.4,0.52,33,23.95,61.3,1.5,6,18
2019-06-19,Washington,38.9072,-77.0369,15.36,28.51,32.79,20.94,4.86,0.56,35,9.8,33.9,2.7,6,19
2019-06-20,Washington,38.9072,-77.0369,9.04,19.67,42.89,18.39,3.75,0.51,44,6.7,51.3,5.9,6,20
2019-06-21,Washington,38.9072,-77.0369,16.69,32.2,40.38,26.04,7.05,0.72,37,12.5,63.9,9.5,6,21
2019-06-22,Washington,38.9072,-77.0369,9.06,32.11,24.77,17.05,5.45,0.48,25,14.38,55.6,9.6,6,22
2019-06-23,Washington,38.9072,-77.0369,8.27,28.06,31.76,19.29,4.11,0.45,30,11.75,59.8,3.4,6,23
2019-06-24,Washington,38.9072,-77.0369,12.39,29.05,25.68,14.64,3.91,0.58,24,22.41,71.2,8.9,6,24
2019-06-25,Washington,38.9072,-77.0369,8.66,35.17,36.14,18.27,6.47,0.43,36,23.17,34.3,2.6,6,25
2019-06-26,Washington,38.9072,-77.0369,15.06,37.17,37.92,15.95,4.22,0.7,39,19.03,43.4,7.4,6,26
2019-06-27,Washington,38.9072,-77.0369,18.1,25.37,44.15,16.36,5.94,0.63,40,10.12,50.9,7.6,6,27
2019-06-28,Washington,38.9072,-77.0369,13.59,23.57,22.13,21.98,5.65,0.58,21,25.47,70.5,3.6,6,28
2019-06-29,Washington,38.9072,-77.0369,13.7,30.76,34.38,26.35,6.82,0.39,36,24.73,35.5,3.4,6,29
2019-06-30,Washington,38.9072,-77.0369,8.9,22.42,27.59,27.38,7.25,0.54,29,8.45,43.2,4.7,6,30
2019-07-01,Washington,38.9072,-77.0369,7.91,34.06,35.58,27.06,6.62,0.63,38,10.34,76.3,9.6,7,1
2019-07-02,Washington,38.9072,-77.0369,15.1,33.37,18.76,20.93,3.9,0.6,20,11.77,57.1,8.4,7,2
2019-07-03,Washington,38.9072,-77.0369,15.59,21.17,27.73,25.4,6.67,0.56,23,10.27,65.4,5.8,7,3
2019-07-04,Washington,38.9072,-77.0369,16.34,23.54,21.25,18.67,6.71,0.62,21,7.26,60.6,8.4,7,4
2019-07-05,Washington,38.9072,-77.0369,7.02,15.43,20.86,21.78,4.26,0.38,25,10.51,56.4,2.4,7,5
2019-07-06,Washington,38.9072,-77.0369,13.69,34.49,26.42,27.13,4.11,0.36,31,7.11,77.4,10.0,7,6
2019-07-07,Washington,38.9072,-77.0369,14.89,20.24,22.24,25.99,3.92,0.58,25,22.1,76.6,9.7,7,7
2019-07-08,Washington,38.9072,-77.0369,9.54,18.72,33.13,12.0,6.89,0.57,33,5.09,30.5,3.0,7,8
2019-07-09,Washington,38.9072,-77.0369,10.37,17.14,18.98,21.01,6.36,0.61,21,19.01,42.6,5.7,7,9
2019-07-10,Washington,38.9072,-77.0369,7.53,19.29,30.17,20.61,4.38,0.33,29,15.6,50.7,7.1,7,10
2019-07-11,Washington,38.9072,-77.0369,10.91,19.24,20.02,12.47,5.83,0.37,16,10.63,51.5,6.6,7,11
2019-07-12,Washington,38.9072,-77.0369,15.54,33.47,39.18,21.96,3.6,0.37,41,16.33,76.2,6.8,7,12
2019-07-13,Washington,38.9072,-77.0369,15.18,24.99,28.77,22.23,3.8,0.32,26,15.78,33.6,5.0,7,13
2019-07-14,Washington,38.9072,-77.0369,15.51,22.65,20.32,23.12,5.55,0.45,19,8.03,36.4,3.2,7,14
2019-07-15,Washington,38.9072,-77.0369,9.05,16.72,29.18,24.37,3.94,0.62,24,13.13,34.9,0.9,7,15
2019-07-16,Washington,38.9072,-77.0369,15.91,28.55,38.89,27.75,3.34,0.47,42,15.15,77.5,9.5,7,16
2019-07-17,Washington,38.9072,-77.0369,16.49,22.34,40.68,23.14,5.65,0.58,37,16.51,30.6,2.6,7,17
2019-07-18,Washington,38.9072,-77.0369,13.32,16.87,27.91,26.35,5.81,0.51,32,23.28,61.7,3.7,7,18
2019-07-19,Washington,38.9072,-77.0369,13.68,28.67,18.61,12.69,3.63,0.3,14,15.5,73.6,8.9,7,19
2019-07-20,Washington,38.9072,-77.0369,15.89,15.1,18.91,23.91,5.13,0.33,25,19.65,35.4,5.6,7,20
2019-07-21,Washington,38.9072,-77.0369,14.36,31.49,39.87,23.89,3.12,0.56,43,16.5,32.3,3.0,7,21
2019-07-22,Washington,38.9072,-77.0369,16.07,30.43,30.64,20.56,5.0,0.37,30,18.11,89.7,9.4,7,22
2019-07-23,Washington,38.9072,-77.0369,11.15,22.52,19.44,25.04,6.54,0.33,26,11.8,73.4,4.5,7,23
2019-07-24,Washington,38.9072,-77.0369,9.32,28.74,29.96,27.76,6.97,0.61,28,13.08,76.4,2.4,7,24
2019-07-25,Washington,38.9072,-77.0369,8.5,33.17,33.97,25.97,6.81,0.33,30,19.54,71.1,5.7,7,25
2019-07-26,Washington,38.9072,-77.0369,11.73,28.15,39.48,13.84,6.48,0.54,40,15.96,75.2,0.7,7,26
2019-07-27,Washington,38.9072,-77.0369,8.47,22.66,21.86,12.69,4.38,0.35,22,19.36,56.4,6.2,7,27
2019-07-28,Washington,38.9072,-77.0369,8.65,28.99,31.1,26.75,5.76,0.5,35,7.34,71.9,2.9,7,28
2019-07-29,Washington,38.9072,-77.0369,16.87,29.54,41.72,20.01,3.04,0.37,40,14.36,40.3,6.6,7,29
2019-07-30,Washington,38.9072,-77.0369,7.37,33.99,29.68,22.2,6.99,0.55,26,9.59,87.7,4.9,7,30
2019-07-31,Washington,38.9072,-77.0369,7.17,34.76,40.69,20.03,6.4,0.64,39,21.18,31.7,5.9,7,31
2019-08-01,Washington,38.9072,-77.0369,9.51,19.67,16.48,11.4,4.24,0.44,12,22.34,50.0,2.7,8,1
2019-08-02,Washington,38.9072,-77.0369,12.39,21.12,38.4,10.53,5.11,0.32,34,13.32,37.5,7.1,8,2
2019-08-03,Washington,38.9072,-77.0369,12.12,20.67,23.2,23.23,4.23,0.26,27,16.69,87.4,2.1,8,3
2019-08-04,Washington,38.9072,-77.0369,8.11,16.55,16.67,20.02,4.45,0.58,18,15.11,65.7,8.8,8,4
